customer_id,full_name,age,gender,city,state,registration_date,preferred_channel,year,age_group,total_spent,spending_category,total_transactions,favorite_page_or_product
4c30e132-0704-4459-a509-9eddde934977,Mark Johnson,40,Male,Houston,Texas,2024-04-25,Unknown,2024,36-45,3565.7200000000003,Medium,3.0,category_gaming
68bec407-275f-4b5b-9a82-13d02f54626a,Robert Smith,33,Male,Austin,Texas,2021-05-30,in-store,2021,18-35,7906.1325,High,9.0,Amazon Echo
4466459f-76c8-433c-814e-6d59cb4131fc,Jamie Chavez,42,Female,Detroit,Michigan,2023-12-14,online,2023,36-45,3820.41,Medium,4.0,category_smartphones
04c36a25-02f3-462c-92b0-6bf291c57706,Thomas Bradley,53,Male,Fort Worth,Texas,2022-07-11,both,2022,46-60,2206.88,Low,6.0,Sofa
e916df3d-c3f5-40b0-8ae2-5d043be88300,Jane Ferrell,32,Female,Atlanta,Georgia,2020-09-06,online,2020,18-35,8521.555,High,15.0,blog
0709fd3c-d251-486e-8864-4b18dcd01e57,Jacqueline Martin,32,Female,San Francisco,California,2022-12-28,in-store,2022,18-35,5607.5205000000005,Medium,6.0,Samsung Galaxy S22
d7c50fae-43b8-4945-86f8-b8f9d4d2d71a,Jennifer Powers,53,Female,Tempe,Arizona,2021-04-10,in-store,2021,46-60,2661.2870000000003,Medium,6.0,Dell XPS 15
d61d8f7b-c2d0-4548-9f3b-da16dc3146ad,David Kennedy,44,Male,Tucson,Arizona,2022-09-04,in-store,2022,36-45,3188.6959999999995,Medium,5.0,Coffee Maker
fd54988d-3cca-4a02-9254-b4fa7a2d5451,Anthony Kidd,29,Male,New York City,New York,2024-05-31,online,2024,18-35,897.808,Low,1.0,home
a960dd54-ee35-4731-b29e-d8de6c5793dc,Jonathan Farrell,41,Male,Syracuse,New York,2022-01-24,in-store,2022,36-45,10797.565999999999,High,10.0,home
e5249c67-3787-4ee6-ac59-f8d74639244b,James Powers,29,Male,San Francisco,California,2021-05-13,online,2021,18-35,3294.355,Medium,8.0,blog
dd0f406f-fb31-4d7c-b3ed-c59f45bf8f96,Tara Garcia,29,Female,Columbus,Ohio,2020-09-04,online,2020,18-35,5550.8,Medium,10.0,Cookware Set
359110d0-d634-4b39-8fef-36111b3742d2,Ashley Landry,37,Female,Seattle,Washington,2022-03-04,online,2022,36-45,4453.872,Medium,10.0,Cookware Set
35dfe82b-dd9b-4841-821d-c6ca82c646eb,Christopher Middleton,18,Male,Macon,Georgia,2021-08-22,both,2021,1-17,7082.220499999999,High,9.0,Cookware Set
dc46a263-7457-4572-a9d8-5eaaa2284b96,Beverly Terrell,18,Non-binary,Arlington,Virginia,2023-03-02,in-store,2023,1-17,2190.036,Low,4.0,Bose Headphones
426c4dcd-d40d-4e1f-ac0b-e11708b7f8c3,Melissa Spencer,28,Female,Sacramento,California,2020-08-07,online,2020,18-35,5784.52731585,Medium,6.0,blog
22c4c8b5-9c60-4e20-9968-a886e2868da0,Drew Beck,22,Male,Champaign,Illinois,2025-02-14,online,2025,18-35,0.0,Low,0.0,wishlist
32a6feeb-ac77-4fde-8a21-70869c6815e2,Kristin Lowery,38,Female,Fort Worth,Texas,2021-03-27,in-store,2021,36-45,4410.429,Medium,12.0,Coffee Maker
e9bd1176-329a-4737-9444-bfe8e8bd1dee,Chris Reyes,24,Male,Miami,Florida,2023-11-13,both,2023,18-35,888.9300000000001,Low,2.0,support
abda27bb-772c-4ed5-ba4e-a9bb0c376fc6,Alyssa Rogers,18,Female,Springfield,Massachusetts,2020-08-09,online,2020,1-17,2926.2850000000003,Medium,5.0,Nintendo Switch
c41b5601-4c95-46d5-abab-e7043248fb1d,Courtney Jones,52,Female,Miami,Florida,2022-04-16,online,2022,46-60,6256.495,High,7.0,category_smartphones
65ef3d0c-894e-447d-b59f-025307cabe1b,Jennifer Espinoza,32,Female,Toledo,Ohio,2023-09-21,both,2023,18-35,3236.383,Medium,6.0,support
de4b2497-46bb-4130-9cd6-f571e9f2fb65,Jeffrey Gross,35,Male,Richmond,Virginia,2022-03-27,online,2022,18-35,7011.5385,High,7.0,Bose Headphones
c9b0a5a5-5ffa-4f34-abce-cbe51ff24bd6,Kristi Black,18,Female,Orlando,Florida,2023-12-01,online,2023,1-17,41347.35999999999,High,3.0,Coffee Maker
8ea18761-b9b3-47b5-b907-942665ba2b41,Barbara Lee,28,Female,Phoenix,Arizona,2023-07-29,online,2023,18-35,2334.8644999999997,Medium,4.0,checkout
0733eb93-5068-4a55-82f3-17a77dd504e0,Brian Smith,36,Male,Trenton,New Jersey,2024-03-31,online,2024,36-45,1384.131,Low,1.0,Nintendo Switch
77227d43-31f5-4434-acf3-f02df29b0920,Terry Evans,21,Male,Buffalo,New York,2022-10-01,online,2022,18-35,183.98000000000002,Low,2.0,Dining Table
7475b654-38a3-4c0c-baec-a8791a4f5e40,Crystal Mann,39,Female,Greensboro,North Carolina,2023-09-30,in-store,2023,36-45,3827.477,Medium,5.0,iPad Pro
1e5da653-be33-4961-9df8-abd2fd7a7040,Holly Bender,27,Non-binary,Rochester,New York,2024-11-19,online,2024,18-35,1238.1280000000002,Low,1.0,category_smartphones
a406b62f-afe9-41d3-ad56-870aa703b3c1,Christopher Richards,31,Male,Buffalo,New York,2024-10-07,online,2024,18-35,1736.42,Low,1.0,support
e5a1f638-ab62-4848-b50b-074713573f20,Amy Stone,27,Female,Greensboro,North Carolina,2022-05-29,online,2022,18-35,5850.8150000000005,Medium,7.0,category_gaming
420d30bf-5c49-4cd2-94e2-ad97d77ef0b9,Theresa Holland,57,Female,Atlanta,Georgia,2021-05-05,both,2021,46-60,4868.6775,Medium,8.0,Cookware Set
bd975e68-2907-4e5b-ad6c-713aaabe80f5,Tasha Kane,34,Female,Pittsburgh,Pennsylvania,2023-11-01,both,2023,18-35,3650.42,Medium,2.0,checkout
c8c9e168-f444-4b91-9f0c-13373c3351c9,Alexis Thomas,22,Female,Allentown,Pennsylvania,2025-02-12,online,2025,18-35,0.0,Low,0.0,category_smart_home
5634f1e2-8892-41b4-87f0-2533a269bf74,Angel Flynn,44,Male,Pittsburgh,Pennsylvania,2021-08-23,online,2021,36-45,13000.9095,High,13.0,category_audio
b1baa15e-9859-41fe-9832-5d2af7c20b81,Benjamin Landry,20,Male,Savannah,Georgia,2024-05-02,online,2024,18-35,169.68,Low,1.0,category_tvs
5ff3b719-34ea-4f22-ab48-c4ffdc0ac4e6,Lori Berger,37,Female,Erie,Pennsylvania,2022-07-24,both,2022,36-45,15803.9485,High,12.0,iPad Pro
291a7e1f-97c0-4551-9099-822be36cd13e,Nicole Morgan,18,Female,San Diego,California,2021-05-22,online,2021,1-17,2922.586,Medium,5.0,account
eeac6386-76dc-4c35-82cb-f24fe791d708,Allison Henson,19,Female,Lowell,Massachusetts,2022-12-04,online,2022,18-35,4622.59,Medium,7.0,Coffee Maker
dc3cb8d4-d6da-43a7-a7b0-48a9585c5f7e,Roy Gilbert,37,Male,Virginia Beach,Virginia,2024-12-26,online,2024,36-45,0.0,Low,0.0,category_gaming
185f50b0-5496-453e-89a0-1c40a8e53b17,Rachel Sanchez,43,Female,Orlando,Florida,2023-09-05,online,2023,36-45,4107.6385,Medium,6.0,Cookware Set
b7e1654f-755d-4bc9-9832-c1f46212bbaa,Christopher Williams,37,Male,San Antonio,Texas,2023-07-03,in-store,2023,36-45,755.59,Low,3.0,category_furniture
